trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",20,0,-166.31498620614568,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.95, 'e': 0.9024999999999999}",25,0,-120.6192602559899,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",25,0,-88.22923726042748,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",25,0,-150.3278322027896,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",25,0,-175.32347130847435,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",20,0,-82.63332813985508,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",20,6,-39.694887607907546,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",20,0,-98.33945493051178,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",30,7,-52.295044904840104,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",20,0,9.177168757767804,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",20,0,-93.83983230562299,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",25,0,-38.87885137525124,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",20,8,-41.89230308409217,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",20,0,-81.29263417335562,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",30,0,0.6220756696234822,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.95, 'e': 0.44012666865176536}",20,0,-20.823141038696217,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.95, 'e': 0.4181203352191771}",25,0,0.636002959362753,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.95, 'e': 0.3972143184582182}",20,0,-47.58729159558879,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.95, 'e': 0.37735360253530725}",25,0,-38.850293188336224,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
20,False,"{'a': 0.95, 'e': 0.3584859224085419}",30,0,-99.22588856090316,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.95, 'e': 0.34056162628811476}",20,0,-11.928225336108454,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.95, 'e': 0.323533544973709}",20,12,7.4316898373999685,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.95, 'e': 0.3073568677250236}",20,0,16.400719694081484,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.95, 'e': 0.2919890243387724}",20,0,-67.55211173610203,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.95, 'e': 0.27738957312183377}",20,10,-8.428959968897178,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.95, 'e': 0.26352009446574204}",20,0,17.052144277050118,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.95, 'e': 0.2503440897424549}",25,0,-134.05920660187496,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
28,False,"{'a': 0.95, 'e': 0.23782688525533216}",25,0,-6.198222498700067,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.95, 'e': 0.22593554099256555}",25,7,-18.00279942151822,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.95, 'e': 0.21463876394293727}",20,12,8.169156814917931,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.95, 'e': 0.2039068257457904}",20,11,-2.075722377362865,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.95, 'e': 0.19371148445850087}",20,16,7.64242926297951,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.95, 'e': 0.1840259102355758}",25,15,-5.84909064032332,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.95, 'e': 0.174824614723797}",25,10,-12.918551893472923,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.95, 'e': 0.16608338398760716}",20,0,5.7664671592161945,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.95, 'e': 0.1577792147882268}",25,8,27.235516453824673,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.95, 'e': 0.14989025404881545}",25,6,-22.862962345002245,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 0}",1
38,False,"{'a': 0.95, 'e': 0.14239574134637467}",25,0,16.61635576419656,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.95, 'e': 0.13527595427905592}",30,0,-31.7193512730819,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.95, 'e': 0.12851215656510312}",30,13,16.18763648791638,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.95, 'e': 0.12208654873684796}",25,5,27.221986119350333,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.11598222130000556}",20,9,18.96741388422567,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.95, 'e': 0.11018311023500528}",30,13,-16.468709355747293,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.95, 'e': 0.10467395472325501}",20,0,22.945408088058375,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.95, 'e': 0.09944025698709225}",20,11,15.272720361193539,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.09446824413773763}",20,11,5.969939961656303,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.08974483193085074}",30,11,28.285530607832985,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.0852575903343082}",25,15,15.204084988817344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
