trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-87.11874285089922,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.72734492037992,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.46353745557016,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.6520395128504,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.81497068674102,"{0: 11, 1: 1, 2: 8, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.16681933166959,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.50647678967152,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.5265869368507,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.3405046437165,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.38005474624013,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.74332450995239,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.882708682345125,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-271.5830361882834,"{0: 9, 1: 2, 2: 9, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-166.39247569195703,"{0: 19, 1: 5, 2: 2, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.25059323262838,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.61743027401096,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.2852715482267,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.2451992313925,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.41789968633591,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.30593065296054,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.36861169337149,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.2819277381689,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.63347576961434,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-214.6202990138851,"{0: 7, 1: 3, 2: 5, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-179.15346443280848,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.6149053115399,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.38040747015847,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.94930209932299,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-141.5624165738117,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-75.85104796357199,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
